BP;Bahnhof;Region;Kategorie;Fahrgastwechselzeit_IPV;Fahrgastwechselzeit_A;Fahrgastwechselzeit_B;Fahrgastwechselzeit_C;Fahrgastwechselzeit_D;Umsteigezeit;ZAZ;Labels;Erstellen;X;Y
AD;Aadorf;Ost;4; ; ; ; ; ;;;;;;
AA;Aarau;Mitte;2;2;2;2;2;2;4;0.2;SBB;JA;-209.4991625;-427.021373
ABE;Aarberg;Mitte;4;;;;;;;;;;;
ABO;Aarburg-Oftringen;Mitte;4;;;;;;;;;;;
AAT;Aathal;Ost;4;;;;;;;;;;;
AEF;Aefligen;Mitte;5;;;;;;;;;;;
AE;Aesch;Mitte;4;;;;;;;;;;;
AF;Affoltern am Albis;Ost;3;;;;;;;;;;;
AGY;Agy;Ouest;4;;;;;;;;;;;
AIG;Aigle;Ouest;3;1.5;1.5;1.5;1.5;1.5;4;0.7;SBB,Kanton TI,;JA ;240;430
AI;Airolo;Sud;4;;;;;;;;;;;
ALL;Allaman;Ouest;4;;;;;;3;;;;;
AL;Altdorf;Sud;3;1.5;1.5;1.5;1.5;1.5;4;0.4;;;;
ALTD;Altendorf;Ost;4;;;;;;;;;;;
AT;Altmatt;Ost;HaV;;;;;;;;;;;
ALN;Altnau;Ost;HaV;;;;;;;;;;;
ALT;Altstätten SG;Ost;3;;;;;;;;;;;
AP;Ambri-Piotta;Sud;4;;;;;;;;;;;
AW;Amriswil;Ost;4;1.5;1.5;1.5;1.5;1.5;;0.2;;;;
AW;Amriswil;Ost;4;1.5;1.5;1.5;1.5;1.5;;0.2;;;;
AN;Andelfingen;Ost;4;;;;;;;;;;;
ARB;Arbon;Ost;4;;;;;;;;;;;
ARBS;Arbon Seemoosriet;Ost;5;;;;;;;;;;;
ARD;Ardon;Ouest;4;;;;;;;;;;;
ARN;Arnegg;Ost;4;;;;;;;;;;;
AX;Arnex;Ouest;5;;;;;;;;;;;
GD;Arth-Goldau;Sud;2;2;2;2;2;2;4;;;JA;951.9866035;758.834056
AUSG;Au SG;Ost;4;;;;;;;;;;;
AU;Au ZH;Ost;4;;;;;;;;;;;
AB;Ausserberg;Mitte;5;;;;;;;;;;;
AUV;Auvernier;Ouest;4;;;;;;;;;;;
AV;Avenches;Ouest;4;;;;;;;;;;;
AVRY;Avry;Ouest;4;;;;;;;;;;;
BAA;Baar;Ost;3;1.5;1.5;1.5;1.5;1.5;3;;;;;
BAAL;Baar Lindenpark;Ost;4;;;;;;;;;;;
BAAN;Baar Neufeld;Ost;4;;;;;;;;;;;
BAE;Bäch;Ost;4;;;;;;;;;;;
BRAG;Bad Ragaz;Ost;4;;;;;;;;;;;
ZZ;Bad Zurzach;Ost;4;;;;;;;;;;;
BD;Baden;Ost;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
BLG;Baldegg;Mitte ;5;;;;;;;;;;;
BLGK;Baldegg Kloster;Mitte;5;;;;;;;;;;;
BAL;Balerna;Sud;4;;;;;;;;;;;
BLL;Ballwil;Mitte;5;;;;;;;;;;;
BRG;Bargen;Mitte ;5;;;;;;;;;;;
BS;Basel SBB;Mitte;1;3;3;3;3;3;5;;;JA;-1271.852641;-968.343583
BSDH;Basel SBB Dreispitz Haltestelle;Mitte;4;;;;;;;;;;;
BSMR;Basel Morgartenring;Mitte;4;;;;;;;;;;;
BSC;Bassecourt;Ouest;4;;;;;;;;;;;
BSD;Bassersdorf;Ost;3;;;;;;;;;;;
BMA;Bauma;Ost;4;;;;;;;;;;;
BAV;Bavois;Ouest;5;;;;;;;;;;;
BAZ;Bazenheid;Ost;4;;;;;;;;;;;
BW;Beinwil am See;Mitte;4;;;;;;;;;;;
BELP;Bellinzona Piazza Indipedenza;Sud;4;;;;;;;;;;;
BF;Belfaux CFF;Ouest;4;;;;;;;;;;;
BFV;Belfaux-Village;Ouest;5;;;;;;;;;;;
BELL;Bellach;Mitte ;4;;;;;;;;;;;
BEL;Bellinzona;Sud;2;2;2;2;2;2;4;;;JA;2121.053433;3728.103892
BP;Bahnhof;Mitte;3;;;;;;;;;;;
BPST;Belp Steinbach;Mitte;4;;;;;;;;;;;
BNK;Benken;Ost;5;;;;;;;;;;;
BNZ;Benzenschwil;Mitte;5;;;;;;;;;;;
BERG;Berg;Ost;HaV;;;;;;;;;;;
BER;Berlingen;Ost;HaV;;;;;;;;;;;
BN;Bern;Mitte;1+;4;4;4;4;4;4;;;JA;-1616.653981;1128.642
BNAH;Bern Europaplatz;Mitte;4;;;;;;;;;;;
BNB;Bern Brünnen;Mitte;4;;;;;;;;;;;
BNBZ;Bern Bümpliz Nord;Mitte;4;;;;;;;;;;;
BNBS;Bern Bümpliz Süd;Mitte;4;;;;;;;;;;;
BNST;Bern Stöckacker;Mitte;4;;;;;;;;;;;
BNWD;Bern Wankdorf;Mitte;3;;;;;;5;;;;;
BNWE;Bern Weissenbühl;Mitte;4;;;;;;;;;;;
BET;Bettlach;Mitte;4;;;;;;;;;;;
BTW;Bettwiesen;Ost;HaV;;;;;;;;;;;
BV;Bevaix;Ouest;5;;;;;;;;;;;
BEX;Bex;Ouest;4;;;;;;;;;;;
BIA;Biasca;Sud;4;;;;;;;;;;;
BIB;Biberbrugg;Ost;4;;;;;;;;;;;
BIGG;Biberegg;Ost;HaV;;;;;;;;;;;
BIST;Biberist Ost;Mitte;5;;;;;;;;;;;
BIM;Biel Mett;Mitte;4;;;;;;;;;;;
BI;Biel/Bienne;Ouest;1+;4;4;4;4;4;4;;;JA;-2069.904095;483.3526565
BIBD;Biel/Bienne Bözingerfeld;Mitte;4;;;;;;;;;;;
BIGE;Bigenthal;Mitte;HaV;;;;;;;;;;;
BIG;Biglen;Mitte;4;;;;;;;;;;;
BIL;Bilten;Ost;4;;;;;;;;;;;
BIR;Birmensdorf ZH;Ost;3;;;;;;;;;;;
BIRR;Birr;Mitte;4;;;;;;;;;;;
BWL;Birrwil;Mitte;4;;;;;;;;;;;
BZN;Bischofszell Nord;Ost;4;;;;;;;;;;;
BZS;Bischofszell Stadt;Ost;4;;;;;;;;;;;
BLU;Blumenau;Ost;4;;;;;;;;;;;
BO;Bodio;Sud;4;;;;;;;;;;;
BOLE;Bôle;Ouest;5;;;;;;;;;;;
BOLT;Boltigen;Mitte;5;;;;;;;;;;;
BCT;Boncourt;Ouest;4;;;;;;;;;;;
BONI;Boniswil;Mitte;5;;;;;;;;;;;
BON;Bonstetten-Wettswil;Ost;3;;;;;;;;;;;
BOSS;Bossière;Ouest;5;;;;;;;;;;;
BOS;Boswil-Bünzen;Mitte;4;;;;;;;;;;;
BOT;Bottighofen;Ost;HaV;;;;;;;;;;;
BDR;Boudry;Ouest;5;;;;;;;;;;;
BOU;Bouveret;Ouest;4;;;;;;;;;;;
BOW;Bowil;Mitte;4;;;;;;;;;;;
BRA;Brassus, Le;Ouest;4;;;;;;;;;;;
BK;Brenzikofen;Mitte ;HaV;;;;;;;;;;;
BRT;Bretonnières;Ouest;5;;;;;;;;;;;
BR;Brig;Ouest;2;2;2;2;2;2;4;;;JA;-329.3652;3328.39752
BRIT;Brittnau-Wikon;Mitte;4;;;;;;;;;;;
BRO;Bronschofen;Ost;HaV;;;;;;;;;;;
BROA;Bronschofen AMP;Ost;HaV;;;;;;;;;;;
BG;Brugg AG;Ost;3;1.5;1.5;1.5;1.5;1.5;3;;;;;
BGG;Brügg BE;Mitte;4;;;;;;;;;;;
BRN;Brunnadern-Neckertal;Ost;HaV;;;;;;;;;;;
BRU;Brunnen;Sud;4;;;;;;3;;;;;
BUB;Bubikon;Ost;3;;;;;;;;;;;
BURN;Buchrain;Mitte;4;;;;;;;;;;;
BU;Buchs SG;Ost;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
BUD;Buchs-Dällikon;Ost;3;;;;;;;;;;;
BUC;Buckten;Mitte;5;;;;;;;;;;;
BX;Buix;Ouest;5;;;;;;;;;;;
BUE;Bülach;Ost;2;2;2;2;2;2;4;;;JA;898.8887195;-904.009981
BUER;Büren an der Aare;Mitte;4;;;;;;;;;;;
BDF;Burgdorf;Mitte;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
BDFB;Burgdorf Buchmatt;Mitte;HaV;;;;;;;;;;;
BDFS;Burgdorf Steinhof;Mitte;4;;;;;;;;;;;
BGH;Burghalden;Ost;4;;;;;;;;;;;
BH;Burgholz;Mitte ;HaV;;;;;;;;;;;
BWA;Burgistein-Wattenwil;Mitte;4;;;;;;;;;;;
BGL;Bürglen;Ost;4;;;;;;;;;;;
BURI;Burier;Ouest;4;;;;;;;;;;;
BY;Bussigny;Ouest;3;;;;;;;;;;;
BNG;Bussnang;Ost;HaV;;;;;;;;;;;
BUS;Busswil;Mitte ;4;;;;;;;;;;;
BUET;Bütschwil;Ost;4;;;;;;;;;;;
BTW;Bettwiesen;Ouest;4;;;;;;;;;;;
CD;Cadenazzo;Sud;4;;;;;;;;;;;
CAP;Capolago-Riva S. Vitale;Sud;4;;;;;;;;;;;
CABA;Carouge-Bachet;Ouest;3;;;;;;;;;;;
CAST;Castione-Arbedo;Sud;4;;;;;;;;;;;
CHAM;Cham;Mitte;4;1.5;1.5;1.5;1.5;1.5;3;;;;;
CHAA;Cham Alpenblick;Mitte;4;;;;;;;;;;;
CHY;Chambésy;Ouest;4;;;;;;;;;;;
CHN;Chambrelien;Ouest;4;;;;;;;;;;;
CHA;Chamoson;Ouest;4;;;;;;;;;;;
CDM;Champ-du-Moulin;Ouest;5;;;;;;;;;;;
CHHO;Champel-Hôpital;Ouest;3;;;;;;;;;;;
CHB;Charbonnières;Ouest;HaV;;;;;;;;;;;
CHAR;Charrat-Fully;Ouest;4;;;;;;;;;;;
CHF;Châteneuf-Conthey;Ouest;4;;;;;;;;;;;
CHAT;Châtillens;Ouest;4;;;;;;;;;;;
CF;Chaux-de-Fonds, La;Ouest;3;;;;;;;;;;;
CFO;Chaux-de-Fonds-Ouest, La;Ouest;4;;;;;;;;;;;
CHV;Chavornay;Ouest;4;;;;;;;;;;;
CHEB;Chéne-Bourg;Ouest;3;;;;;;;;;;;
CHE;Chénens;Ouest;5;;;;;;;;;;;
CHX;Chexbrs-Village;Ouest;4;;;;;;;;;;;
CHS;Cheyres;Ouest;5;;;;;;;;;;;
CLME;Che-le-Maître-Ecoles;Ouest;HaV;;;;;;;;;;;
CHI;Chiasso;Sud;2;2;2;2;2;2;7;;;JA;2150.55564;5000
CH;Chur;Ost;2;2;2;2;2;2;4;;;JA;3235.226062;1397.129247
CL;Clarens;Ouest;4;;;;;;;;;;;
CBY;Collombey;Ouest;4;;;;;;;;;;;
CMA;Colmegna;Sud;5;;;;;;;;;;;
CLB;Colombier;Ouest;4;;;;;;;;;;;
CC;Concise;Ouest;5;;;;;;;;;;;
DVN;Conversion, La;Ouest;5;;;;;;;;;;;
COP;Coppet;Ouest;3;;;;;;3;;;;;
CORC;Corcelles BE;Ouest;HaV;;;;;;;;;;;
CN;Corcelles Nord;Ouest;5;;;;;;;;;;;
CS;Corcelles Sud;Ouest;5;;;;;;;;;;;
